wig_id,name_index,ticker,kurs,zmiana,zmiana_pr,wplyw_na_indeks,udział_w_obrocie,pakiet,udział_portfel
1,11BIT,11B,434.50,-13.50,-3.01,-0.01,0.6400,2007000,0.31
2,4FUNMEDIA,4FM,5.40,-0.08,-1.46,0.00,0.0000,1692000,0.01
3,ABPL,ABE,25.90,-0.60,-2.26,0.00,0.0100,13113000,0.12
4,ACAUTOGAZ,ACG,47.80,-1.00,-2.05,0.00,0.0200,7863000,0.13
5,ADIUVO,ADV,6.26,-0.08,-1.26,0.00,0.0000,5446000,0.01
6,AGORA,AGO,12.15,-0.45,-3.57,-0.01,0.0100,35828000,0.16
7,AGROTON,AGT,4.30,-0.18,-4.04,0.00,0.0300,4818000,0.01
8,AILLERON,ALL,8.30,-0.50,-5.68,0.00,0.0100,6223000,0.02
9,AIRWAY,AWM,0.61,0.05,8.93,0.00,0.0000,23305000,0.01
10,ALIOR,ALR,27.20,-0.60,-2.16,-0.02,1.0300,88860000,0.87
11,ALTA,AAT,1.94,0.00,0.00,0.00,0.0000,6251000,0.01
12,ALTUSTFI,ALI,2.13,0.16,8.38,0.00,0.0100,23745000,0.02
13,ALUMETAL,AML,42.50,-0.50,-1.16,0.00,0.0100,10371000,0.16
14,AMBRA,AMB,18.75,-0.25,-1.32,0.00,0.0100,9800000,0.07
15,AMICA,AMC,145.00,1.00,0.69,0.00,0.0300,5057000,0.26
16,AMREST,EAT,46.40,-0.60,-1.28,-0.02,0.1300,72350000,1.20
17,APATOR,APT,20.70,-0.50,-2.36,0.00,0.0700,20484000,0.15
18,APLISENS,APN,10.50,-0.10,-0.94,0.00,0.0000,2496000,0.01
19,APSENERGY,APE,2.25,0.09,4.17,0.00,0.0000,4515000,0.01
20,ARCHICOM,ARH,18.10,-1.05,-5.48,0.00,0.0100,6591000,0.04
21,ARCTIC,ATC,4.02,0.00,0.00,0.00,0.0300,22082000,0.03
22,ARCUS,ARC,1.99,-0.17,-7.87,0.00,0.0000,2244000,0.01
23,ARTERIA,ARR,5.55,0.00,0.00,0.00,0.0000,2810000,0.01
24,ARTIFEX,ART,2.90,-0.16,-5.23,0.00,0.0100,6009000,0.01
25,ASBIS,ASB,3.78,-0.20,-5.03,0.00,0.1500,35056000,0.05
26,ASMGROUP,ASM,3.42,0.14,4.27,0.00,0.0000,10755000,0.01
27,ASSECOBS,ABS,31.20,0.20,0.65,0.00,0.0000,17889000,0.20
28,ASSECOPOL,ACP,65.65,-1.20,-1.80,-0.02,0.4400,55869000,1.32
29,ASSECOSEE,ASE,24.00,-0.60,-2.44,-0.01,0.0100,25399000,0.22
30,ASTARTA,AST,16.80,-0.70,-4.00,0.00,0.0100,7103000,0.04
31,ATAL,1AT,41.00,-0.70,-1.68,0.00,0.0000,6500000,0.10
32,ATENDE,ATD,3.46,0.00,0.00,0.00,0.0000,24386000,0.03
33,ATLANTAPL,ATP,4.75,-0.14,-2.86,0.00,0.0000,2464000,0.01
34,ATLANTIS,ATS,0.63,0.00,0.03,0.00,0.0000,9328000,0.01
35,ATLASEST,ATL,1.53,0.02,0.99,0.00,0.0000,6663000,0.01
36,ATMGRUPA,ATG,4.60,-0.19,-3.97,0.00,0.0000,35192000,0.06
37,ATREM,ATR,2.00,0.07,3.63,0.00,0.0000,2625000,0.01
38,AUGA,AUG,1.95,-0.13,-6.25,0.00,0.0000,203000,0.01
39,AUTOPARTN,APR,5.32,0.02,0.38,0.00,0.0500,65675000,0.13
40,BAHOLDING,BAH,0.95,-0.05,-4.71,0.00,0.0400,22434000,0.01
41,BALTONA,BAL,6.70,0.25,3.88,0.00,0.0000,2174000,0.01
42,BBIDEV,BBD,4.66,-0.08,-1.69,0.00,0.0000,9480000,0.02
43,BEDZIN,BDZ,12.80,-1.60,-11.11,0.00,0.0000,1197000,0.01
44,BENEFIT,BFT,950.00,0.00,0.00,0.00,0.0900,1365000,0.47
45,BETACOM,BCM,8.82,-0.37,-4.03,0.00,0.0000,681000,0.01
46,BIK,BIK,14.70,0.90,6.52,0.00,0.0000,1437000,0.01
47,BIOMEDLUB,BML,1.09,-0.04,-3.11,0.00,0.0100,28036000,0.01
48,BIOTON,BIO,3.56,-0.18,-4.81,0.00,0.0300,38904000,0.05
49,BNPPPL,BNP,68.20,-1.40,-2.01,-0.01,0.0100,16568000,0.41
50,BOGDANKA,LWB,33.20,-0.80,-2.35,0.00,0.0500,11564000,0.14
51,BOOMBIT,BBT,10.85,-0.35,-3.12,0.00,0.0400,1970000,0.01
52,BORYSZEW,BRS,4.57,-0.08,-1.72,0.00,0.0800,83167000,0.14
53,BOS,BOS,6.70,-0.20,-2.90,0.00,0.0000,25847000,0.06
54,BOWIM,BOW,1.98,-0.10,-4.81,0.00,0.0000,5158000,0.01
55,BRASTER,BRA,0.46,-0.01,-2.33,0.00,0.0200,17218000,0.01
56,BSCDRUK,BSC,44.00,1.40,3.29,0.00,0.0100,3842000,0.06
57,BUDIMEX,BDX,186.60,-3.40,-1.79,-0.01,0.1400,11451000,0.77
58,BUMECH,BMC,2.60,-0.10,-3.70,0.00,0.0000,6446000,0.01
59,CCC,CCC,87.50,-3.70,-4.06,-0.04,2.1400,27918000,0.88
60,CDPROJEKT,CDR,271.00,-5.00,-1.81,-0.12,9.2600,67348000,6.55
61,CDRL,CDL,20.20,-0.80,-3.81,0.00,0.0100,1050000,0.01
62,CELTIC,CPD,6.40,0.15,2.40,0.00,0.0000,3156000,0.01
63,CEZ,CEZ,87.30,0.30,0.34,0.00,0.0000,6410000,0.20
64,CIECH,CIE,38.60,0.00,0.00,0.00,0.4300,25747000,0.36
65,CIGAMES,CIG,0.82,-0.02,-2.51,0.00,0.1200,109279000,0.03
66,CITYSERV,CTS,9.49,0.29,3.15,0.00,0.0000,4796000,0.02
67,CLNPHARMA,CLN,45.00,-1.50,-3.23,-0.01,0.1400,14996000,0.24
68,CNT,CNT,14.90,0.10,0.68,0.00,0.0000,2128000,0.01
69,COGNOR,COG,1.27,-0.02,-1.55,0.00,0.0100,30976000,0.01
70,COMARCH,CMR,201.00,-2.00,-0.99,0.00,0.1000,4954000,0.36
71,COMP,CMP,65.80,0.80,1.23,0.00,0.0000,4296000,0.10
72,COMPERIA,CPL,2.56,-0.12,-4.48,0.00,0.0000,1489000,0.01
73,CORMAY,CRM,0.98,0.00,0.51,0.00,0.0100,64542000,0.02
74,CPGROUP,CPG,7.60,0.00,0.00,0.00,0.0000,29780000,0.08
75,CYFRPLSAT,CPS,26.60,-0.80,-2.92,-0.08,1.8900,275301000,2.63
76,DATAWALK,DAT,53.60,0.60,1.13,0.00,0.0600,3290000,0.06
77,DEBICA,DBC,81.20,-1.20,-1.46,0.00,0.0500,1759000,0.05
78,DECORA,DCR,19.10,-0.20,-1.04,0.00,0.0000,5912000,0.04
79,DEKPOL,DEK,25.00,-0.70,-2.72,0.00,0.0000,1233000,0.01
80,DELKO,DEL,11.20,-0.50,-4.27,0.00,0.0000,2632000,0.01
81,DEVELIA,DVL,2.61,-0.02,-0.95,0.00,0.3600,447558000,0.42
82,DINOPL,DNP,153.90,-7.90,-4.88,-0.13,5.5000,47937000,2.65
83,DOMDEV,DOM,95.00,-1.40,-1.45,0.00,0.0200,8177000,0.28
84,ECHO,ECH,5.23,-0.04,-0.76,0.00,0.0300,181759000,0.34
85,EDINVEST,EDI,2.20,0.00,0.00,0.00,0.0000,2861000,0.01
86,EFEKT,EFK,5.30,-0.25,-4.50,0.00,0.0100,1071000,0.01
87,EKOEXPORT,EEX,5.21,-0.16,-2.98,0.00,0.0100,9459000,0.02
88,ELBUDOWA,ELB,8.00,0.02,0.25,0.00,0.0200,4747000,0.01
89,ELEKTROTI,ELT,4.54,-0.16,-3.40,0.00,0.0000,6051000,0.01
90,ELEMENTAL,EMT,1.80,-0.05,-2.70,0.00,0.0100,80188000,0.05
91,ELKOP,EKP,1.15,-0.05,-4.17,0.00,0.0000,6086000,0.01
92,ELZAB,ELZ,3.84,0.14,3.78,0.00,0.0100,3484000,0.01
93,ENAP,ENP,1.50,0.01,0.67,0.00,0.0000,8802000,0.01
94,ENEA,ENA,7.32,-0.14,-1.81,-0.01,0.2600,214078000,0.56
95,ENELMED,ENE,12.90,-0.60,-4.44,0.00,0.0000,8233000,0.04
96,ENERGA,ENG,7.45,-0.05,-0.67,0.00,0.1400,200740000,0.54
97,ENTER,ENT,50.00,-1.00,-1.96,0.00,0.1500,8322000,0.15
98,ERBUD,ERB,21.00,0.80,3.96,0.00,0.0500,5077000,0.04
99,ERG,ERG,27.40,-0.80,-2.84,0.00,0.0000,412000,0.01
100,ESOTIQ,EAH,11.35,-0.35,-2.99,0.00,0.0100,1057000,0.01
101,EUCO,EUC,6.00,-0.14,-2.28,0.00,0.0300,2012000,0.01
102,EUROCASH,EUR,19.80,-0.70,-3.41,-0.02,0.8900,77875000,0.55
103,EUROHOLD,EHG,5.70,0.00,0.00,0.00,0.0000,290000,0.01
104,EUROTEL,ETL,26.20,-0.10,-0.38,0.00,0.0500,1459000,0.01
105,FAMUR,FMF,3.44,-0.06,-1.57,-0.01,0.0400,302904000,0.37
106,FASING,FSG,15.00,-0.10,-0.66,0.00,0.0000,1239000,0.01
107,FEERUM,FEE,12.50,0.00,0.00,0.00,0.0000,2520000,0.01
108,FERRO,FRO,17.50,-0.30,-1.69,0.00,0.0700,21242000,0.13
109,FERRUM,FER,3.79,0.14,3.84,0.00,0.0000,6461000,0.01
110,FORTE,FTE,32.80,3.30,11.19,0.02,0.1900,16166000,0.19
111,GETIN,GTN,1.50,-0.07,-4.46,0.00,0.1000,85450000,0.05
112,GLCOSMED,GLC,1.08,-0.20,-15.62,0.00,0.0000,10719000,0.01
113,GPW,GPW,42.60,-0.40,-0.93,0.00,0.4200,27199000,0.42
114,GROCLIN,GCN,1.54,0.00,-0.13,0.00,0.0000,7375000,0.01
115,GRODNO,GRN,6.02,-0.56,-8.51,0.00,0.0200,2767000,0.01
116,GRUPAAZOTY,ATT,26.50,-1.08,-3.92,-0.02,0.4600,46803000,0.44
117,GTC,GTC,9.22,-0.24,-2.54,-0.02,0.1000,186980000,0.62
118,HANDLOWY,BHW,56.10,-0.10,-0.18,0.00,0.3300,32664000,0.66
119,HELIO,HEL,9.60,0.30,3.23,0.00,0.0000,975000,0.01
120,HYDROTOR,HDR,35.00,-0.40,-1.13,0.00,0.0000,1555000,0.02
121,I2DEV,I2D,8.50,0.00,0.00,0.00,0.0000,1440000,0.01
122,IDEABANK,IDA,2.30,-0.06,-2.54,0.00,0.0100,15235000,0.01
123,IFIRMA,IFI,3.67,-0.02,-0.54,0.00,0.0000,3401000,0.01
124,IIAAV,IIA,106.40,2.40,2.31,0.00,0.0000,162000,0.01
125,IMCOMPANY,IMC,13.20,-0.30,-2.22,0.00,0.0000,8572000,0.04
126,IMMOBILE,GKI,2.67,-0.03,-1.11,0.00,0.0000,14701000,0.01
127,IMPEL,IPL,8.50,0.00,0.00,0.00,0.0000,3551000,0.01
128,IMS,IMS,3.86,0.04,1.05,0.00,0.0100,14526000,0.02
129,INC,INC,1.97,0.00,0.00,0.00,0.0000,5922000,0.01
130,INGBSK,ING,204.50,-0.50,-0.24,-0.01,0.1100,32525000,2.39
131,INPRO,INP,4.72,-0.24,-4.84,0.00,0.0000,12110000,0.02
132,INSTALKRK,INK,18.45,-0.15,-0.81,0.00,0.0000,5977000,0.04
133,INTERAOLT,IRL,22.00,0.10,0.46,0.00,0.0200,3977000,0.03
134,INTERCARS,CAR,234.00,3.00,1.30,0.01,0.0600,8415000,0.71
135,INTERFERI,INF,3.88,-0.02,-0.51,0.00,0.0000,2243000,0.01
136,INTERSPPL,IPO,1.81,0.03,1.69,0.00,0.0000,5385000,0.01
137,INTROL,INL,2.42,-0.04,-1.63,0.00,0.0100,5537000,0.01
138,IPOPEMA,IPE,2.25,-0.21,-8.54,0.00,0.0100,15586000,0.01
139,IZOBLOK,IZB,40.00,0.10,0.25,0.00,0.0200,832000,0.01
140,IZOSTAL,IZS,2.67,0.00,0.00,0.00,0.0000,13005000,0.01
141,JSW,JSW,19.20,-1.34,-6.52,-0.02,2.8800,52636000,0.36
142,K2INTERNT,K2I,8.80,0.05,0.57,0.00,0.0000,1296000,0.01
143,KERNEL,KER,48.10,-0.05,-0.10,0.00,0.0400,38691000,0.67
144,KETY,KTY,347.00,-1.00,-0.29,0.00,0.1000,9569000,1.19
145,KGHM,KGH,93.16,-4.20,-4.31,-0.20,12.7000,136410000,4.56
146,KGL,KGL,14.30,0.30,2.14,0.00,0.0000,1728000,0.01
147,KINOPOL,KPL,9.85,0.10,1.03,0.00,0.0000,6908000,0.02
148,KOGENERA,KGN,35.70,-1.00,-2.72,0.00,0.0000,6247000,0.08
149,KOMPAP,KMP,6.40,-0.05,-0.78,0.00,0.0000,887000,0.01
150,KOMPUTRON,KOM,3.14,-0.11,-3.38,0.00,0.0000,4507000,0.01
151,KREC,KRC,6.85,0.00,0.00,0.00,0.0000,6050000,0.01
152,KRKA,KRK,320.00,5.00,1.59,0.00,0.0100,146000,0.02
153,KRUK,KRU,160.60,0.60,0.37,0.00,0.3300,17085000,0.98
154,KRUSZWICA,KSW,52.80,-0.40,-0.75,0.00,0.0200,2418000,0.05
155,KRVITAMIN,KVT,4.91,0.09,1.87,0.00,0.0000,1658000,0.01
156,LARQ,LRQ,3.98,0.30,8.15,0.00,0.0400,5016000,0.01
157,LENA,LEN,3.79,0.09,2.43,0.00,0.0000,10111000,0.01
158,LENTEX,LTX,7.44,0.18,2.48,0.00,0.0300,16508000,0.04
159,LIBET,LBT,0.54,0.00,0.00,0.00,0.0200,34971000,0.01
160,LIVECHAT,LVC,47.35,-0.15,-0.32,0.00,0.2800,13620000,0.23
161,LOKUM,LKD,14.40,0.00,0.00,0.00,0.0000,2815000,0.01
162,LOTOS,LTS,83.50,-2.36,-2.75,-0.07,1.9200,86543000,2.59
163,LPP,LPP,8385.00,-200.00,-2.33,-0.09,1.3000,1306000,3.93
164,LSISOFT,LSI,22.10,-0.60,-2.64,0.00,0.0200,1541000,0.01
165,LUBAWA,LBW,0.84,0.00,-0.47,0.00,0.0200,73170000,0.02
166,MABION,MAB,67.50,-3.60,-5.06,-0.01,0.2600,8276000,0.20
